[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 42 行.
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D336E32D4'; [ RunTime:0.000759s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 42 行.
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D37DC7E1A'; [ RunTime:0.000735s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 42 行.
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D418E6E0A'; [ RunTime:0.000755s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 42 行.
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D48BE0BBB'; [ RunTime:0.000798s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 42 行.
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D4E63893C'; [ RunTime:0.000767s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 42 行.
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D52A78126'; [ RunTime:0.000760s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | SQL: SHOW COLUMNS FROM `think_rent_goods` [ RunTime:0.005244s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 48 行.
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | SQL: SELECT *FROM think_rent_goods WHERE goods_num='515A9C678812D'; [ RunTime:0.000808s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 42 行.
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | SQL: SELECT *FROM think_sale_goods WHERE goods_num='51721B155CE5F'; [ RunTime:0.000790s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 42 行.
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | SQL: SELECT *FROM think_sale_goods WHERE goods_num='517226E992047'; [ RunTime:0.000773s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 42 行.
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5172B328A0A7D'; [ RunTime:0.000783s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 42 行.
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5172B41C53F20'; [ RunTime:0.000784s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 48 行.
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | SQL: SELECT *FROM think_rent_goods WHERE goods_num='517A6828B818F'; [ RunTime:0.000802s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | NOTIC: [8] Undefined index: search SearchAction.class.php 第 84 行.
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | NOTIC: [8] Undefined index: goods_type SearchAction.class.php 第 116 行.
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | NOTIC: [8] Undefined index: sale_low_price SearchAction.class.php 第 121 行.
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | NOTIC: [8] Undefined index: sale_high_price SearchAction.class.php 第 126 行.
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | NOTIC: [8] Undefined index: goods_new SearchAction.class.php 第 131 行.
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | NOTIC: [8] Use of undefined constant r - assumed 'r' SearchAction.class.php 第 148 行.
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.006038s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | SQL: SELECT *FROM think_shopcar WHERE username='haoyun'; [ RunTime:0.000858s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | SQL: SELECT goods_service,goods_num,goods_name,goods_pic FROM think_goods WHERE goods_num='5172B328A0A7D'; [ RunTime:0.000777s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | NOTIC: [8] Undefined index: desc_pic FileAction.class.php 第 104 行.
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | NOTIC: [8] Undefined index: goods_para FileAction.class.php 第 107 行.
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | NOTIC: [8] Undefined index: shelf_time FileAction.class.php 第 110 行.
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' FileAction.class.php 第 116 行.
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5172B328A0A7D'; [ RunTime:0.000676s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | INFO: Tag[ view_template ] --START--
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | INFO: Run LocationTemplate Behavior [ RunTime:0.001305s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | INFO: Tag[ view_template ] --END-- [ RunTime:0.001400s ]
