[ 2013-04-02T19:45:37+08:00 ] /Ibike/index.php/Search/index?goods_type=%E5%B1%B1%E5%9C%B0%E8%BD%A6&goods_service=%E5%87%BA%E5%8D%96r&p=2 | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D2E00FA45'; [ RunTime:0.000691s ]
[ 2013-04-02T19:45:37+08:00 ] /Ibike/index.php/Search/index?goods_type=%E5%B1%B1%E5%9C%B0%E8%BD%A6&goods_service=%E5%87%BA%E5%8D%96r&p=2 | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 56 行.
[ 2013-04-02T19:45:37+08:00 ] /Ibike/index.php/Search/index?goods_type=%E5%B1%B1%E5%9C%B0%E8%BD%A6&goods_service=%E5%87%BA%E5%8D%96r&p=2 | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D336E32D4'; [ RunTime:0.000682s ]
[ 2013-04-02T19:45:37+08:00 ] /Ibike/index.php/Search/index?goods_type=%E5%B1%B1%E5%9C%B0%E8%BD%A6&goods_service=%E5%87%BA%E5%8D%96r&p=2 | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 56 行.
[ 2013-04-02T19:45:37+08:00 ] /Ibike/index.php/Search/index?goods_type=%E5%B1%B1%E5%9C%B0%E8%BD%A6&goods_service=%E5%87%BA%E5%8D%96r&p=2 | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D37DC7E1A'; [ RunTime:0.000663s ]
[ 2013-04-02T19:45:37+08:00 ] /Ibike/index.php/Search/index?goods_type=%E5%B1%B1%E5%9C%B0%E8%BD%A6&goods_service=%E5%87%BA%E5%8D%96r&p=2 | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 56 行.
[ 2013-04-02T19:45:37+08:00 ] /Ibike/index.php/Search/index?goods_type=%E5%B1%B1%E5%9C%B0%E8%BD%A6&goods_service=%E5%87%BA%E5%8D%96r&p=2 | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D418E6E0A'; [ RunTime:0.000666s ]
[ 2013-04-02T19:45:37+08:00 ] /Ibike/index.php/Search/index?goods_type=%E5%B1%B1%E5%9C%B0%E8%BD%A6&goods_service=%E5%87%BA%E5%8D%96r&p=2 | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 56 行.
[ 2013-04-02T19:45:37+08:00 ] /Ibike/index.php/Search/index?goods_type=%E5%B1%B1%E5%9C%B0%E8%BD%A6&goods_service=%E5%87%BA%E5%8D%96r&p=2 | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D48BE0BBB'; [ RunTime:0.000681s ]
[ 2013-04-02T19:45:37+08:00 ] /Ibike/index.php/Search/index?goods_type=%E5%B1%B1%E5%9C%B0%E8%BD%A6&goods_service=%E5%87%BA%E5%8D%96r&p=2 | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 56 行.
[ 2013-04-02T19:45:37+08:00 ] /Ibike/index.php/Search/index?goods_type=%E5%B1%B1%E5%9C%B0%E8%BD%A6&goods_service=%E5%87%BA%E5%8D%96r&p=2 | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D4E63893C'; [ RunTime:0.000663s ]
[ 2013-04-02T19:45:37+08:00 ] /Ibike/index.php/Search/index?goods_type=%E5%B1%B1%E5%9C%B0%E8%BD%A6&goods_service=%E5%87%BA%E5%8D%96r&p=2 | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 56 行.
[ 2013-04-02T19:45:37+08:00 ] /Ibike/index.php/Search/index?goods_type=%E5%B1%B1%E5%9C%B0%E8%BD%A6&goods_service=%E5%87%BA%E5%8D%96r&p=2 | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D52A78126'; [ RunTime:0.000701s ]
[ 2013-04-02T19:45:37+08:00 ] /Ibike/index.php/Search/index?goods_type=%E5%B1%B1%E5%9C%B0%E8%BD%A6&goods_service=%E5%87%BA%E5%8D%96r&p=2 | SQL: SHOW COLUMNS FROM `think_rent_goods` [ RunTime:0.006502s ]
[ 2013-04-02T19:45:37+08:00 ] /Ibike/index.php/Search/index?goods_type=%E5%B1%B1%E5%9C%B0%E8%BD%A6&goods_service=%E5%87%BA%E5%8D%96r&p=2 | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 62 行.
[ 2013-04-02T19:45:37+08:00 ] /Ibike/index.php/Search/index?goods_type=%E5%B1%B1%E5%9C%B0%E8%BD%A6&goods_service=%E5%87%BA%E5%8D%96r&p=2 | SQL: SELECT *FROM think_rent_goods WHERE goods_num='515A9C678812D'; [ RunTime:0.000724s ]
[ 2013-04-02T19:45:37+08:00 ] /Ibike/index.php/Search/index?goods_type=%E5%B1%B1%E5%9C%B0%E8%BD%A6&goods_service=%E5%87%BA%E5%8D%96r&p=2 | NOTIC: [8] Use of undefined constant r - assumed 'r' SearchAction.class.php 第 9 行.
[ 2013-04-02T19:45:37+08:00 ] /Ibike/index.php/Search/index?goods_type=%E5%B1%B1%E5%9C%B0%E8%BD%A6&goods_service=%E5%87%BA%E5%8D%96r&p=2 | INFO: Tag[ view_template ] --START--
[ 2013-04-02T19:45:37+08:00 ] /Ibike/index.php/Search/index?goods_type=%E5%B1%B1%E5%9C%B0%E8%BD%A6&goods_service=%E5%87%BA%E5%8D%96r&p=2 | INFO: Run LocationTemplate Behavior [ RunTime:0.001781s ]
[ 2013-04-02T19:45:37+08:00 ] /Ibike/index.php/Search/index?goods_type=%E5%B1%B1%E5%9C%B0%E8%BD%A6&goods_service=%E5%87%BA%E5%8D%96r&p=2 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001880s ]
[ 2013-04-02T19:45:37+08:00 ] /Ibike/index.php/Search/index?goods_type=%E5%B1%B1%E5%9C%B0%E8%BD%A6&goods_service=%E5%87%BA%E5%8D%96r&p=2 | INFO: Tag[ view_parse ] --START--
[ 2013-04-02T19:45:37+08:00 ] /Ibike/index.php/Search/index?goods_type=%E5%B1%B1%E5%9C%B0%E8%BD%A6&goods_service=%E5%87%BA%E5%8D%96r&p=2 | INFO: Run ParseTemplate Behavior [ RunTime:0.018245s ]
