[ 2013-04-27T18:23:28+08:00 ] /Ibike/index.php | NOTIC: [8] Undefined index: desc_pic FileAction.class.php 第 104 行.
[ 2013-04-27T18:23:28+08:00 ] /Ibike/index.php | NOTIC: [8] Undefined index: goods_para FileAction.class.php 第 107 行.
[ 2013-04-27T18:23:28+08:00 ] /Ibike/index.php | NOTIC: [8] Undefined index: shelf_time FileAction.class.php 第 110 行.
[ 2013-04-27T18:23:28+08:00 ] /Ibike/index.php | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' FileAction.class.php 第 116 行.
[ 2013-04-27T18:23:28+08:00 ] /Ibike/index.php | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5172B328A0A7D'; [ RunTime:0.000780s ]
[ 2013-04-27T18:23:28+08:00 ] /Ibike/index.php | INFO: Tag[ view_template ] --START--
[ 2013-04-27T18:23:28+08:00 ] /Ibike/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001672s ]
[ 2013-04-27T18:23:28+08:00 ] /Ibike/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001768s ]
[ 2013-04-27T18:23:28+08:00 ] /Ibike/index.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-27T18:23:28+08:00 ] /Ibike/index.php | NOTIC: [8] Undefined index: sale_price 7e4848229090366086cc7eeb3bfc0798.php 第 1016 行.
[ 2013-04-27T18:23:28+08:00 ] /Ibike/index.php | NOTIC: [8] Undefined index: sale_price 7e4848229090366086cc7eeb3bfc0798.php 第 1016 行.
[ 2013-04-27T18:23:28+08:00 ] /Ibike/index.php | NOTIC: [8] Undefined index: sale_price 7e4848229090366086cc7eeb3bfc0798.php 第 1052 行.
[ 2013-04-27T18:23:28+08:00 ] /Ibike/index.php | NOTIC: [8] Undefined index: sale_price 7e4848229090366086cc7eeb3bfc0798.php 第 1052 行.
[ 2013-04-27T18:23:28+08:00 ] /Ibike/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.037583s ]
[ 2013-04-27T18:23:28+08:00 ] /Ibike/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.037660s ]
[ 2013-04-27T18:23:28+08:00 ] /Ibike/index.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-27T18:23:28+08:00 ] /Ibike/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.003203s ]
[ 2013-04-27T18:23:28+08:00 ] /Ibike/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.001497s ]
[ 2013-04-27T18:23:28+08:00 ] /Ibike/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001231s ]
