[ 2013-04-10T20:09:45+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1365595785 WHERE username='k14cqi2qkr3l4ijhvuumh9m7g6'; [ RunTime:0.000937s ]
[ 2013-04-10T20:09:55+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-10T20:09:55+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.001746s ]
[ 2013-04-10T20:09:55+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.001921s ]
[ 2013-04-10T20:09:55+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-10T20:09:55+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001410s ]
[ 2013-04-10T20:09:55+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001519s ]
[ 2013-04-10T20:09:55+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.099045s ]
[ 2013-04-10T20:09:55+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1365595795 WHERE username='k14cqi2qkr3l4ijhvuumh9m7g6'; [ RunTime:0.001061s ]
[ 2013-04-10T20:10:05+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-10T20:10:05+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.001339s ]
[ 2013-04-10T20:10:05+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.001484s ]
[ 2013-04-10T20:10:05+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-10T20:10:05+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001104s ]
[ 2013-04-10T20:10:05+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001187s ]
[ 2013-04-10T20:10:05+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.005527s ]
[ 2013-04-10T20:10:05+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1365595805 WHERE username='k14cqi2qkr3l4ijhvuumh9m7g6'; [ RunTime:0.000697s ]
[ 2013-04-10T20:10:15+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-10T20:10:15+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.001481s ]
[ 2013-04-10T20:10:15+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.001631s ]
[ 2013-04-10T20:10:15+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-10T20:10:15+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001257s ]
[ 2013-04-10T20:10:15+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001352s ]
[ 2013-04-10T20:10:15+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.006344s ]
[ 2013-04-10T20:10:15+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1365595815 WHERE username='k14cqi2qkr3l4ijhvuumh9m7g6'; [ RunTime:0.000812s ]
[ 2013-04-10T20:10:25+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-10T20:10:25+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.001727s ]
[ 2013-04-10T20:10:25+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.001902s ]
[ 2013-04-10T20:10:25+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-10T20:10:25+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001382s ]
[ 2013-04-10T20:10:25+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001491s ]
[ 2013-04-10T20:10:25+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.025293s ]
[ 2013-04-10T20:10:25+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1365595825 WHERE username='k14cqi2qkr3l4ijhvuumh9m7g6'; [ RunTime:0.000496s ]
