[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Run ParseTemplate Behavior [ RunTime:0.030330s ]
[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.030439s ]
[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Tag[ view_filter ] --START--
[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Run ContentReplace Behavior [ RunTime:0.001453s ]
[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Run TokenBuild Behavior [ RunTime:0.001120s ]
[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000782s ]
[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Run ShowRuntime Behavior [ RunTime:0.001046s ]
[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004675s ]
[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Tag[ view_end ] --START--
[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001106s ]
[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001190s ]
[ 2013-04-15T18:14:01+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-15T18:14:01+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.002723s ]
[ 2013-04-15T18:14:01+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.002913s ]
[ 2013-04-15T18:14:01+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-15T18:14:01+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003085s ]
[ 2013-04-15T18:14:01+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003172s ]
[ 2013-04-15T18:14:01+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.005825s ]
[ 2013-04-15T18:14:01+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1366020841 WHERE username='698516el7q1g6rla588lceqov0'; [ RunTime:0.002372s ]
[ 2013-04-15T18:14:11+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-15T18:14:11+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.001713s ]
[ 2013-04-15T18:14:11+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.001853s ]
[ 2013-04-15T18:14:11+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-15T18:14:11+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001158s ]
[ 2013-04-15T18:14:11+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001242s ]
[ 2013-04-15T18:14:11+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.006946s ]
[ 2013-04-15T18:14:11+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1366020851 WHERE username='698516el7q1g6rla588lceqov0'; [ RunTime:0.000959s ]
[ 2013-04-15T18:14:21+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-15T18:14:21+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.001319s ]
[ 2013-04-15T18:14:21+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.001460s ]
[ 2013-04-15T18:14:21+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-15T18:14:21+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002858s ]
[ 2013-04-15T18:14:21+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002956s ]
[ 2013-04-15T18:14:21+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.005474s ]
[ 2013-04-15T18:14:21+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1366020861 WHERE username='698516el7q1g6rla588lceqov0'; [ RunTime:0.000618s ]
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | INFO: Tag[ route_check ] --START--
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | INFO: Run CheckRoute Behavior [ RunTime:0.001328s ]
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001475s ]
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | INFO: Tag[ app_begin ] --START--
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001180s ]
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001264s ]
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | SQL: SHOW COLUMNS FROM `think_goods` [ RunTime:0.006146s ]
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | NOTIC: [2048] Redefining already defined constructor for class PSCWS2 pscws2.class.php 第 144 行.
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | NOTIC: [2048] Redefining already defined constructor for class PSCWS23_Dict dict.class.php 第 48 行.
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | NOTIC: [2048] Redefining already defined constructor for class xdb_Dictionary dict.class.php 第 148 行.
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | NOTIC: [2048] Redefining already defined constructor for class dba_Dictionary dict.class.php 第 201 行.
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | NOTIC: [2048] Redefining already defined constructor for class sql_Dictionary dict.class.php 第 257 行.
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | NOTIC: [2048] Redefining already defined constructor for class txt_Dictionary dict.class.php 第 315 行.
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | NOTIC: [8] Undefined index: search SearchAction.class.php 第 37 行.
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | NOTIC: [2048] Redefining already defined constructor for class XDB_R xdb_r.class.php 第 34 行.
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | NOTIC: [8] Only variable references should be returned by reference pscws2.class.php 第 370 行.
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | SQL: SELECT *FROM think_goods ORDER BY shelf_time; [ RunTime:0.002055s ]
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | SQL: SHOW COLUMNS FROM `think_sale_goods` [ RunTime:0.005858s ]
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 59 行.
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | SQL: SELECT *FROM think_sale_goods WHERE goods_num='51542427CABFA'; [ RunTime:0.000960s ]
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 59 行.
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | SQL: SELECT *FROM think_sale_goods WHERE goods_num='515424C6F1A93'; [ RunTime:0.000930s ]
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 59 行.
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | SQL: SELECT *FROM think_sale_goods WHERE goods_num='515425541304D'; [ RunTime:0.001010s ]
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 59 行.
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | SQL: SELECT *FROM think_sale_goods WHERE goods_num='515425D7343D3'; [ RunTime:0.000911s ]
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 59 行.
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5154267E6B8A7'; [ RunTime:0.000934s ]
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 59 行.
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | SQL: SELECT *FROM think_sale_goods WHERE goods_num='515426F99700C'; [ RunTime:0.000951s ]
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 59 行.
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5154274F61CA7'; [ RunTime:0.000921s ]
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 59 行.
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D0B9537DB'; [ RunTime:0.000984s ]
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 59 行.
[ 2013-04-15T18:14:27+08:00 ] /Ibike/index.php/Search/index?r=&p=1 | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D1F224754'; [ RunTime:0.000918s ]
