[ 2013-04-08T20:25:46+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001470s ]
[ 2013-04-08T20:25:46+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001578s ]
[ 2013-04-08T20:25:46+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.005930s ]
[ 2013-04-08T20:25:46+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1365423946 WHERE username='l95sblbfkn46npinoocmqno7h1'; [ RunTime:0.001017s ]
[ 2013-04-08T20:25:50+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-08T20:25:50+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.001755s ]
[ 2013-04-08T20:25:50+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.002013s ]
[ 2013-04-08T20:25:50+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-08T20:25:50+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001762s ]
[ 2013-04-08T20:25:50+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001874s ]
[ 2013-04-08T20:25:50+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.005606s ]
[ 2013-04-08T20:25:50+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1365423950 WHERE username='l95sblbfkn46npinoocmqno7h1'; [ RunTime:0.000921s ]
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Login/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.001330s ]
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Login/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001464s ]
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Login/index/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Login/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001090s ]
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Login/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001174s ]
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Login/index/ | INFO: Tag[ view_template ] --START--
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Login/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002057s ]
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Login/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002250s ]
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Login/index/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Login/index/ | NOTIC: [8] Undefined index: username fe9703200f8417a0c6155a1fe6fdc2c0.php 第 155 行.
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Login/index/ | INFO: Run ParseTemplate Behavior [ RunTime:0.021047s ]
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Login/index/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021126s ]
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Login/index/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Login/index/ | INFO: Run ContentReplace Behavior [ RunTime:0.001574s ]
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Login/index/ | INFO: Run TokenBuild Behavior [ RunTime:0.001736s ]
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Login/index/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001091s ]
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Login/index/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001294s ]
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Login/index/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005971s ]
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Login/index/ | INFO: Tag[ view_end ] --START--
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Login/index/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001290s ]
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Login/index/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001375s ]
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.002414s ]
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.002556s ]
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001574s ]
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001667s ]
[ 2013-04-08T20:25:52+08:00 ] /Ibike/index.php/Public/verify | NOTIC: [8] Use of undefined constant png - assumed 'png' PublicAction.class.php 第 15 行.
[ 2013-04-08T20:26:00+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-08T20:26:00+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.002173s ]
[ 2013-04-08T20:26:00+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.002313s ]
[ 2013-04-08T20:26:00+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-08T20:26:00+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001906s ]
[ 2013-04-08T20:26:00+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001994s ]
[ 2013-04-08T20:26:00+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.006536s ]
[ 2013-04-08T20:26:00+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1365423960 WHERE username='l95sblbfkn46npinoocmqno7h1'; [ RunTime:0.001062s ]
[ 2013-04-08T20:26:02+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-08T20:26:02+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.001314s ]
[ 2013-04-08T20:26:02+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.001449s ]
[ 2013-04-08T20:26:02+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-08T20:26:02+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001125s ]
[ 2013-04-08T20:26:02+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001211s ]
[ 2013-04-08T20:26:02+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.005154s ]
[ 2013-04-08T20:26:02+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1365423962 WHERE username='l95sblbfkn46npinoocmqno7h1'; [ RunTime:0.000657s ]
[ 2013-04-08T20:26:10+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-08T20:26:10+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.003088s ]
[ 2013-04-08T20:26:10+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.003263s ]
[ 2013-04-08T20:26:10+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-08T20:26:10+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001804s ]
[ 2013-04-08T20:26:10+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001914s ]
[ 2013-04-08T20:26:10+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.005490s ]
[ 2013-04-08T20:26:10+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1365423970 WHERE username='l95sblbfkn46npinoocmqno7h1'; [ RunTime:0.001033s ]
[ 2013-04-08T20:26:12+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-08T20:26:12+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.001593s ]
[ 2013-04-08T20:26:12+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.001757s ]
[ 2013-04-08T20:26:12+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-08T20:26:12+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001257s ]
[ 2013-04-08T20:26:12+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001351s ]
[ 2013-04-08T20:26:12+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.005768s ]
[ 2013-04-08T20:26:12+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1365423972 WHERE username='l95sblbfkn46npinoocmqno7h1'; [ RunTime:0.000945s ]
[ 2013-04-08T20:26:17+08:00 ] /Ibike/index.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2013-04-08T20:26:17+08:00 ] /Ibike/index.php/Login/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.001325s ]
[ 2013-04-08T20:26:17+08:00 ] /Ibike/index.php/Login/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001462s ]
[ 2013-04-08T20:26:17+08:00 ] /Ibike/index.php/Login/index/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-08T20:26:17+08:00 ] /Ibike/index.php/Login/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001102s ]
[ 2013-04-08T20:26:17+08:00 ] /Ibike/index.php/Login/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001188s ]
[ 2013-04-08T20:26:17+08:00 ] /Ibike/index.php/Login/index/ | INFO: Tag[ view_template ] --START--
[ 2013-04-08T20:26:17+08:00 ] /Ibike/index.php/Login/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002072s ]
[ 2013-04-08T20:26:17+08:00 ] /Ibike/index.php/Login/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002186s ]
[ 2013-04-08T20:26:17+08:00 ] /Ibike/index.php/Login/index/ | INFO: Tag[ view_parse ] --START--
